sdtname,Underweight Children,Poverty,Aganwadi,Immunitized childrens in anganwadi y < 6,SC Population,ST Population,Female literacy,ATM,Internet,Road,MSME,PDS,Mobile,Clean,Kuccha,Post,Panchayat,School,Library,Vocational,Pasture Land,Bank,Public Transport ,Electricity,Market,Water,Ground,Health,Drainage System,long,lat
AKKALKUWA,156.1914439,0.826693,109.2105858,111.6443991,0.420420977,95.29387797,42.96575476,32.60521117,47.37518712,103.2337824,90.5626691,139.20039,78.21042925,28.00683845,145.3599744,47.31230294,56.64357644,106.5685674,17.09160661,25.60522233,49.60731559,65.16557896,112.2346602,93.13814035,51.46632242,39.33299562,49.85413486,129.4988775,215.2983727,73.95485315,21.69781112
AKRANI,287.3315508,0.8940525,99.1481236,104.5268069,0.723395954,97.50554937,36.27001927,0,16.59086694,68.10001958,181.4515173,142.5427015,64.60330226,61.74081013,227.9040621,33.29110483,48.11712259,104.9811398,41.23350094,92.65889831,98.73406031,20.50590773,90.25537258,92.72084221,93.12187713,30.01649398,106.3954349,79.1183483,273.2534183,74.28429191,21.83867556
TALODE,69.63449198,0.759966,108.5994906,112.0265016,1.624265704,86.56098311,46.63762388,26.49602423,142.8172874,149.1032008,46.77590135,140.381037,63.90167909,64.08856362,175.021731,80.09889883,134.5253448,110.6568119,57.87158027,0,25.1952945,23.0241771,117.2273171,108.287115,10.45578971,145.1391763,280.4749223,126.4185214,30.42752287,74.2082881,21.61844484
SHAHADE,140.4463102,0.64,107.9039535,100.7064943,4.678188664,61.55673996,45.60409187,68.77383339,116.0454081,135.2431302,106.8433156,155.2562906,134.4851465,69.82607228,145.5108842,103.9534889,125.3674538,110.5187866,54.07672255,54.00882961,83.70895658,77.69087081,118.3677017,107.6953821,32.56721386,141.3785861,62.68963617,111.7434427,75.02961582,74.5366947,21.5671579
NANDURBAR,114.9767914,0.574468,109.4942497,106.7102458,3.332176328,59.97215386,47.73376118,138.9320751,88.10157337,106.1299006,142.3526348,134.2907247,63.9241086,100.0387028,158.8436563,106.2350655,117.980685,111.2972592,189.2100043,80.22415438,198.944663,85.21935679,118.4067842,106.1776257,158.0250036,105.6298908,168.2141264,101.1703155,51.61811916,74.28241009,21.3617215
NAWAPUR,175.2068449,0.69738,110.9349635,108.5111172,0.587537965,95.70508882,42.85934714,53.71907352,46.76016699,80.67598138,83.09377597,34.17724964,91.03988394,100.7652822,137.9857957,51.03862761,119.236577,112.8717083,40.2278058,30.13297506,75.89314318,80.02305454,119.3952841,107.6268277,21.19847609,136.9753462,133.1353268,87.08461101,103.5509829,73.93125951,21.20049667
SHIRPUR,48.98395722,0.574233,110.1803039,106.2021393,4.819947166,56.64191037,44.14903676,128.4246073,174.5615025,140.8326935,62.47393627,135.4262493,61.38743763,54.22759967,97.22197289,121.646797,141.4054215,108.8239868,86.02000197,50.42661132,58.61762393,115.3166693,115.7200211,107.5504679,108.1142882,127.5223444,143.4969486,147.941513,54.07612483,74.93803077,21.41902993
SINDKHEDE,180.1069519,0.261892,110.1481907,91.19826355,7.400412461,26.04073953,58.19733963,80.33369049,192.4488269,124.7465404,218.5087023,120.6275536,62.83603867,65.9125127,96.64261915,124.1248893,120.1221784,107.782055,81.88212953,122.6689907,139.1995348,69.80734545,118.9083884,105.2151401,42.26808607,126.3563233,70.86467451,119.706248,41.00162657,74.69000045,21.23867635
SAKRI,119.5721925,0.533891,109.9618498,98.37670796,3.45111872,55.94725493,47.00471995,99.36009087,84.0862652,122.8872534,76.66050498,104.2685239,118.0166145,90.86590942,157.4136652,146.8479812,131.6889671,108.7523921,89.21868625,130.0475766,134.374904,93.53571946,111.6450639,102.1128497,87.13158094,109.3979747,68.17098806,140.9395678,71.31450673,74.22910522,21.03060193
DHULE,88.44919786,0.37111,103.9137633,101.1221073,7.138244499,22.86925401,56.32991761,159.3115381,168.0087791,118.2206488,103.1240863,119.8814396,121.4962646,107.8075482,152.8900852,158.93041,123.7645482,103.4172254,215.7364606,125.109061,130.2819975,141.8974206,118.5073761,101.4335001,141.4509526,135.3132272,121.7955447,131.4787223,45.73757394,74.73520264,20.8851727
CHOPDA,80.7486631,0.4715835,102.5449242,99.77018676,6.528712838,37.77537995,52.18859861,63.45686476,89.22819195,57.5539181,84.6421072,82.83353115,86.86158287,55.98823879,118.863693,124.6917732,103.5124654,103.702858,64.68000148,249.1667854,112.6377872,82.71290512,110.0393091,102.8272604,166.9411803,119.7730527,105.7345937,106.3776112,54.65447911,75.32157461,21.2749092
YAWAL,116.4705882,0.468527,108.4697421,99.95307964,10.29894608,30.47996018,60.48075125,125.8561151,104.8706651,105.5009827,131.6655001,96.63911967,94.7970855,87.10961633,109.3847696,147.9604659,102.6498615,106.6475071,61.08666806,54.90897677,90.42311247,176.1989108,104.7030311,102.2711642,154.5133369,125.6604479,131.5808277,122.6221694,84.30959462,75.69597023,21.22519975
RAVER,364.8128342,0.412871,110.9349635,96.20231254,12.41893829,19.73424992,60.49690899,156.0199774,131.6300187,124.7830347,171.382779,116.6058799,81.35795641,92.66763633,65.06662859,166.6520478,127.2518944,105.7661227,90.87272935,40.84138768,126.6011492,176.2491243,117.3231346,104.7073756,168.2863675,107.5504343,97.87003716,120.714581,44.79258274,75.96005044,21.24907984
MUKTAINAGAR (EDLABAD),49.62566845,0.502669,105.6523462,97.70594945,13.55754876,17.65069382,57.84640751,89.89722508,129.9178999,70.41634677,52.901317,46.01862842,74.22299277,61.84637696,123.2674454,63.41162824,124.6462604,103.3827875,58.90500135,117.6620931,68.38722792,123.6864276,109.2680055,101.8414534,141.9000032,136.4805256,193.8467552,158.4299038,47.31660923,76.16076871,21.04942758
BODVAD,83.20855615,0.450331,104.5348694,103.0024066,13.26811839,7.240819617,62.34647486,96.81239624,232.5557417,104.7692609,34.18238945,163.5431256,141.9852797,137.5753553,168.6389993,87.80071603,121.4032016,101.0807416,42.2907702,380.13907,128.8836219,94.64265105,117.6732367,106.2046705,57.30577054,145.985926,21.3502545,37.45247257,34.74296482,75.9776205,20.88618126
BHUSAWAL,40.64171123,0.3575705,108.8015988,103.130531,11.41565063,12.03103525,66.85562836,121.0154953,198.5231942,80.82200125,148.1236876,137.5249011,34.70751281,130.2246323,102.9114682,160.9679794,121.4032016,107.6729639,52.86346275,332.6216862,128.8836219,157.7377517,115.319772,106.2046705,133.7134646,122.1514891,92.5177695,124.8415752,13.89718593,75.83147095,20.99826416
JALGAON,47.37967914,0.377453,107.1530897,104.5388096,7.391121017,20.27635036,61.05666022,185.9238064,113.9574699,95.51691057,114.4592131,101.0318069,95.08711155,111.5106776,134.8303576,155.6467239,124.229662,110.3697821,49.98000114,168.4707242,135.9973283,161.5616972,105.6919617,100.9039026,129.806253,146.121349,121.9552416,140.1630413,106.7556555,75.56178975,20.99354449
ERANDOL,69.30481283,0.4009675,107.52158,64.02548193,6.400885936,16.8630491,55.58744973,77.44991699,99.82880621,90.9995866,100.2683424,115.9669436,108.5398583,105.6051818,187.322163,117.0676214,120.8109909,98.44385269,135.3304646,152.055628,198.8490166,126.1902014,107.3179919,98.29138129,106.9707717,140.6231777,113.868024,124.8415752,55.58874371,75.36232459,20.87875685
DHARANGAON,24.38502674,0.4570325,108.4697421,105.3723215,8.478185295,20.11921316,59.59902795,111.8721023,160.5832059,119.3371772,52.66620003,96.63911967,18.23020875,57.8669388,121.183488,122.5958146,123.1798338,105.3778939,207.6946714,54.90897677,21.27602646,72.90989414,118.3008273,105.8807347,77.25666843,149.7597119,16.44760347,61.31108472,32.11794081,75.34855868,21.03987443
AMALNER,121.1764706,0.348884,106.612822,70.50126132,7.559354721,18.63230044,58.66783013,40.86237504,111.0845925,104.1083787,63.4815804,135.5457782,88.42835024,108.2533569,188.1449168,195.1760506,139.9770839,106.8453689,257.0400059,64.1793235,102.5808419,85.21935679,117.6121078,104.0681365,119.3250027,142.8518524,158.6018906,147.5400435,53.9643973,75.05771801,21.07826264
PAROLA,71.65775401,0.392664,106.153284,93.95590953,6.862566506,16.52543704,55.36500488,75.94765567,99.16380241,112.7172738,122.5851208,121.6319955,110.3241943,73.5784716,123.688972,127.9165604,123.4453076,100.4745602,132.7055203,213.0089616,156.8189882,94.28003553,112.8851533,99.88552848,77.06638107,134.8905847,111.659377,117.523276,68.52750302,75.10139181,20.84915059
BHADGAON,25.6684492,0.376789,109.0547099,109.9911496,11.10881241,15.48677143,57.71996231,106.6577247,229.960039,137.1893857,40.16913562,176.8987275,114.0160513,152.2951375,169.4199855,148.3187237,117.4384009,110.39179,46.59152649,167.5189122,81.13738906,92.68206882,120.3059261,108.287115,58.92457762,152.2980121,87.81347614,115.5313561,12.24836726,75.17450246,20.66920193
CHALISGAON,68.44919786,0.314849,108.6076565,111.7907537,10.01897632,13.58209053,53.52129105,184.8236655,204.1952854,131.709928,109.7979782,162.1915295,63.10456875,131.3191101,78.24578182,159.6376655,131.3631095,93.48969776,149.9400034,241.9066809,220.9433517,110.8944194,122.3801662,106.7726099,156.2884651,137.589704,72.46146982,111.2224943,10.10704431,74.95922029,20.48318072
PACHORA,88.44919786,0.3576545,107.4682459,104.6362962,7.501914642,11.57792592,55.7220659,98.32508993,142.8657987,104.5821729,175.896879,111.7389821,87.16318559,120.3400035,128.8070294,133.7589033,134.7279432,105.3382185,60.13218887,77.21574859,172.0366202,102.5295386,112.8192157,105.7491357,81.48164249,128.2963049,40.47652416,98.89793538,33.8743907,75.395026,20.64821176
JAMNER,40.64171123,0.453859,108.8286034,102.9707383,8.835567869,12.30297333,54.83066938,95.58692287,113.872617,79.79893795,84.37425243,110.0951996,79.95908015,100.8211714,134.6183748,115.5857527,106.2231162,110.6491992,52.19430499,78.19316313,181.7888337,86.52281741,120.0564922,102.8042231,91.15728057,151.982248,110.0844346,110.9351719,86.90139048,75.77485839,20.73590655
JALGAON (JAMOD),51.65775401,0.361021,70.67630737,95.70170078,14.71401747,16.85041333,63.43398687,50.74843351,76.11580532,60.2543952,43.00365124,57.67173271,80.71277906,118.5515404,86.19044599,58.29778726,52.15275222,67.26902088,8.867419558,39.85328959,61.76910909,35.27898104,99.68061926,99.55428313,104.1362927,123.6891947,116.3933229,60.20585644,101.9874129,76.51080203,21.05025861
SANGRAMPUR,56.79144385,0.405088,78.84633768,89.35753967,16.19423453,14.33489919,64.7527839,52.00665914,75.56538111,78.47180532,100.381342,92.64576762,86.78182017,120.811028,112.9104729,44.02129564,57.2633525,76.4915709,36.34909174,0,90.99457599,40.67287483,81.92391292,83.22893962,61.56818323,101.1486227,30.58438661,50.96837865,152.2947813,76.69806945,21.0792684
SHEGAON,135.5080214,0.350769,97.25805017,107.8206591,22.94077392,2.75289287,71.69815395,51.72169114,92.92905684,66.10099747,97.39639732,90.02000189,103.3877592,92.55475317,91.48027855,83.3906344,109.680674,100.1776974,45.18739829,67.69599876,39.34607634,67.41668294,103.9393193,97.90341903,74.83767294,78.52304213,35.48626776,111.1603067,98.99365318,76.63396196,20.80767195
NANDURA,254.2245989,0.376159,90.13465782,91.25715836,17.02672513,6.123906717,69.23571272,56.18576567,47.40247697,75.04900116,71.41677795,62.12514836,105.4747792,89.22394388,85.75603558,74.73513329,67.36397162,92.84046375,39.2700009,66.18492736,47.0162192,92.76482067,105.9899654,95.71807485,172.940629,114.8096313,69.38832713,52.16594393,135.4975628,76.37617621,20.83058635
MALKAPUR,37.64705882,0.276789,88.44814655,95.84512549,16.22290016,7.478744336,70.05010657,51.02274937,139.5027851,103.0702999,80.06685816,67.90857058,97.55625223,165.6625304,117.6635338,149.1030178,101.9562814,83.38270341,59.43567703,0,12.9381242,81.28467928,104.1885199,96.58039985,33.5574332,121.4267934,80.01536822,96.49916355,102.5386962,76.19802335,20.89091602
MOTALA,47.05882353,0.3363855,94.56750985,101.5603288,16.44557558,7.051705303,64.61444946,51.58037504,111.2101828,80.38035097,29.13908608,106.1446069,69.93227619,107.2960878,143.8412569,53.01627935,76.98739614,97.4063882,45.06393546,40.50662221,39.2385734,67.23248435,112.349005,102.0739199,199.4741849,124.4470189,142.5683661,95.78009378,121.4295098,76.14844833,20.67905886
KHAMGAON,53.90374332,0.396216,97.53342426,93.40669563,21.70560779,3.693923242,66.97589488,92.91391048,49.48804457,90.88708269,55.67064769,137.4999555,85.8899768,94.2153021,96.89297038,120.0139541,111.6058897,94.32629461,114.383761,82.91624009,57.83081019,80.73914452,107.5959851,101.0195234,143.3285268,118.5323339,64.57616126,100.2084054,77.6003939,76.54749357,20.60512385
MEHKAR,59.46524064,0.309593,90.13465782,104.1025269,22.04126096,5.683020424,63.19516825,78.66007194,55.3028898,107.0143165,62.95256723,108.7190096,126.1302568,76.43759884,119.8973994,80.84982601,86.61082066,94.98293599,96.2115022,77.21574859,113.6937664,64.93537447,104.0231413,95.42802008,65.18531399,93.92257793,94.83071374,60.86026792,97.10658667,76.61222813,20.25326639
